ID,1629: Lecture Clarity,1630: Lectures: Order Sequence,1631: Lectures: Adequacy of Examples,"1632: Textbook Suitability, wherever applicable  ","1633: Audio/visual presentation quality, if any",1634: Cases: Relevance,1635: Case effectiveness,1636: Projects/Assignments: Relevance,1637: Projects/Assignments: Effectiveness,1638: Instructor: Preparation,1639: Instructor: Enthusiasm,1640: Instructor: Concern for students,1641: Instructor: Enforcing discipline,1642: Instructor: Adherence to schedule,1643: The course as a whole: Achieving objectives,1644: The course as a whole: Interest evoked,1645: Overall rating
1,5,3,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5
2,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6,2,4,2,3,5,3,3,3,3,5,5,5,5,5,4,4,3
7,5,5,5,5,4,4,4,4,4,5,5,5,4,5,4,4,5
8,4,3,3,4,5,4,5,4,5,5,4,5,4,3,4,5,4
9,3,4,4,5,4,3,3,3,3,5,5,5,3,5,3,3,4
10,4,4,4,4,5,5,5,4,4,5,5,5,4,5,4,4,4
11,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,4,4,4,4,5,4,5,4,4,4,5,4,5,5,4,5,4
15,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5
16,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
18,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5
20,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
21,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
22,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
23,5,5,4,5,5,5,5,5,5,5,5,3,4,5,5,5,5
24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
28,4,4,3,3,4,2,4,2,4,4,4,4,4,3,4,2,3
29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,4,4,3,4,5,3,3,5,5,5,5,5,4,5,4,4,4
31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
33,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4
34,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
35,3,3,4,2,3,4,4,3,3,3,4,4,3,4,2,3,3
36,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4
37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
39,3,4,4,4,5,4,4,4,4,5,5,4,5,5,3,4,4
40,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
