Year,Player,Mat,Inns,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
1974,BP Patel,2,2,94,82,47,101,93.06,0,1,0,8,2
1974,AL Wadekar,2,2,73,67,36.5,90,81.11,0,1,0,11,0
1974,SM Gavaskar,2,2,48,28,24,58,82.75,0,0,0,6,1
1974,AV Mankad,1,1,44,44,44,61,72.13,0,0,0,3,0
1974,SS Naik,2,2,38,20,19,68,55.88,0,0,0,3,0
1974,FM Engineer,2,2,36,32,18,66,54.54,0,0,0,3,0
1974,GR Viswanath,2,2,36,32,18,63,57.14,0,0,0,2,0
1974,S Abid Ali,2,2,23,17,11.5,34,67.64,0,0,0,1,0
1974,GK Bose,1,1,13,13,13,18,72.22,0,0,0,1,0
1974,S Madan Lal,2,2,5,3*,5,23,21.73,0,0,0,0,0
1974,ED Solkar,2,2,3,3,1.5,26,11.53,0,0,1,0,0
1974,S Venkataraghavan,1,1,1,1*,-,2,50,0,0,0,0,0
1974,BS Bedi,1,1,0,0,0,2,0,0,0,1,0,0
1975,SM Gavaskar,3,3,113,65*,113,274,41.24,0,1,0,12,0
1975,FM Engineer,3,2,78,54*,78,129,60.46,0,1,0,10,0
1975,S Abid Ali,3,1,70,70,70,98,71.42,0,1,0,5,1
1975,AD Gaekwad,3,2,59,37,29.5,97,60.82,0,0,0,5,0
1975,GR Viswanath,3,2,39,37,19.5,68,57.35,0,0,0,5,0
1975,S Venkataraghavan,3,1,26,26*,-,58,44.82,0,0,0,3,0
1975,BP Patel,3,2,25,16*,25,89,28.08,0,0,0,1,0
1975,ED Solkar,3,2,21,13,10.5,44,47.72,0,0,0,2,0
1975,S Madan Lal,3,1,20,20,20,44,45.45,0,0,0,4,0
1975,BS Bedi,2,1,6,6,6,10,60,0,0,0,0,0
1975,M Amarnath,3,1,1,1,1,3,33.33,0,0,0,0,0
1976,BP Patel,2,2,61,44,30.5,103,59.22,0,0,0,NA,NA
1976,DB Vengsarkar,2,2,59,43,29.5,81,72.83,0,0,0,NA,NA
1976,GR Viswanath,1,1,56,56,56,88,63.63,0,1,0,NA,NA
1976,M Amarnath,2,2,29,26,14.5,73,39.72,0,0,0,NA,NA
1976,S Madan Lal,2,2,21,13,10.5,30,70,0,0,0,NA,NA
1976,PH Sharma,2,2,20,14,10,39,51.28,0,0,0,NA,NA
1976,AD Gaekwad,2,2,16,13,8,39,41.02,0,0,0,NA,NA
1976,BS Chandrasekhar,1,1,11,11*,-,13,84.61,0,0,0,NA,NA
1976,SMH Kirmani,1,1,8,8,8,19,42.1,0,0,0,NA,NA
1976,P Krishnamurthy,1,1,6,6,6,13,46.15,0,0,0,NA,NA
1976,BS Bedi,1,1,4,4*,-,5,80,0,0,0,NA,NA
1976,R Sudhakar Rao,1,1,4,4,4,14,28.57,0,0,0,NA,NA
1976,ED Solkar,2,2,3,2,1.5,9,33.33,0,0,0,NA,NA
1976,S Venkataraghavan,2,2,1,1,0.5,11,9.09,0,0,1,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,S Amarnath,3,3,100,62,33.33,119,84.03,0,1,0,NA,NA
1978,AD Gaekwad,2,2,94,78*,94,150,62.66,0,1,0,NA,NA
1978,M Amarnath,3,2,85,51,85,146,58.21,0,1,0,NA,NA
1978,DB Vengsarkar,2,2,37,34,18.5,78,47.43,0,0,0,NA,NA
1978,CPS Chauhan,2,2,25,23,12.5,39,64.1,0,0,0,NA,NA
1978,N Kapil Dev,3,2,18,13*,18,28,64.28,0,0,0,NA,NA
1978,GR Viswanath,3,3,17,9,8.5,36,47.22,0,0,1,NA,NA
1978,Yashpal Sharma,2,1,11,11,11,26,42.3,0,0,0,NA,NA
1978,KD Ghavri,3,2,6,5,6,16,37.5,0,0,0,NA,NA
1978,SMH Kirmani,2,2,5,5,2.5,17,29.41,0,0,1,NA,NA
1978,SM Gavaskar,1,1,4,4,4,9,44.44,0,0,0,NA,NA
1978,BS Bedi,3,1,2,2,2,10,20,0,0,0,NA,NA
1978,S Venkataraghavan,3,1,0,0,0,3,0,0,0,1,NA,NA
1979,GR Viswanath,3,3,106,75,35.33,206,51.45,0,1,0,7,0
1979,SM Gavaskar,3,3,89,55,29.66,205,43.41,0,1,0,8,0
1979,BP Patel,3,3,63,38,21,106,59.43,0,0,0,8,0
1979,AD Gaekwad,3,3,54,33,18,113,47.78,0,0,0,5,0
1979,N Kapil Dev,3,3,53,25,17.66,55,96.36,0,0,0,6,0
1979,DB Vengsarkar,3,3,44,36,14.66,66,66.66,0,0,0,4,0
1979,KD Ghavri,3,3,35,20,11.66,56,62.5,0,0,0,4,0
1979,S Venkataraghavan,3,3,23,13*,23,41,56.09,0,0,0,0,0
1979,BS Bedi,3,3,19,13,9.5,43,44.18,0,0,0,1,0
1979,SC Khanna,3,3,17,10,5.66,45,37.77,0,0,1,1,0
1979,M Amarnath,3,3,16,8,5.33,35,45.71,0,0,0,1,0
1980,Yashpal Sharma,4,4,145,72,36.25,254,57.08,0,1,0,8,4
1980,SMH Kirmani,5,5,130,48*,43.33,130,100,0,0,0,11,0
1980,SM Patil,5,5,125,64,25,190,65.78,0,1,1,8,0
1980,N Kapil Dev,5,5,112,75,22.4,94,119.14,0,1,1,14,3
1980,CPS Chauhan,2,2,89,46,44.5,161,55.27,0,0,0,5,0
1980,GR Viswanath,4,4,77,43,19.25,164,46.95,0,0,0,4,0
1980,DB Vengsarkar,5,5,54,22,10.8,190,28.42,0,0,0,2,0
1980,RMH Binny,4,4,49,31,12.25,79,62.02,0,0,1,7,0
1980,SM Gavaskar,5,5,44,22,8.8,74,59.45,0,0,1,3,0
1980,KD Ghavri,5,5,44,14,22,68,64.7,0,0,1,2,0
1980,KBJ Azad,3,3,34,29,11.33,55,61.81,0,0,0,3,0
1980,TE Srinivasan,1,1,6,6,6,12,50,0,0,0,0,0
1980,DR Doshi,5,2,2,2*,2,10,20,0,0,1,0,0
1980,B Yograj Singh,2,1,0,0,0,1,0,0,0,1,0,0
1981,DB Vengsarkar,9,9,342,88*,42.75,508,67.32,0,3,2,NA,NA
1981,RMH Binny,8,8,143,35,23.83,284,50.35,0,0,0,NA,NA
1981,Yashpal Sharma,8,8,124,28*,20.66,209,59.33,0,0,0,NA,NA
1981,SM Gavaskar,8,7,113,80,16.14,266,42.48,0,1,1,NA,NA
1981,SM Patil,7,7,113,48,16.14,164,68.9,0,0,0,NA,NA
1981,N Kapil Dev,8,8,102,50,12.75,139,73.38,0,1,2,NA,NA
1981,GR Viswanath,8,7,99,33,14.14,191,51.83,0,0,0,NA,NA
1981,KBJ Azad,5,5,92,30,18.4,142,64.78,0,0,0,NA,NA
1981,SMH Kirmani,7,6,44,18*,14.66,89,49.43,0,0,0,NA,NA
1981,CPS Chauhan,3,3,39,31,13,101,38.61,0,0,0,NA,NA
1981,KD Ghavri,7,6,29,11*,7.25,54,53.7,0,0,0,NA,NA
1981,RJ Shastri,2,1,19,19,19,28,67.85,0,0,0,NA,NA
1981,K Srikkanth,2,2,17,17,8.5,40,42.5,0,0,1,NA,NA
1981,B Reddy,2,2,11,8*,-,20,55,0,0,0,NA,NA
1981,DR Doshi,6,3,7,5*,3.5,10,70,0,0,1,NA,NA
1981,S Madan Lal,2,1,6,6,6,17,35.29,0,0,0,NA,NA
1981,TE Srinivasan,1,1,4,4,4,23,17.39,0,0,0,NA,NA
1981,B Yograj Singh,4,3,1,1,1,11,9.09,0,0,0,NA,NA
1982,K Srikkanth,6,6,297,95,49.5,257,115.56,0,3,0,NA,NA
1982,SM Patil,9,8,283,84,35.37,255,110.98,0,4,1,NA,NA
1982,N Kapil Dev,9,9,230,60,28.75,187,122.99,0,1,1,NA,NA
1982,DB Vengsarkar,9,8,227,53,28.37,341,66.56,0,1,0,NA,NA
1982,Yashpal Sharma,9,8,199,56*,66.33,261,76.24,0,1,0,NA,NA
1982,SM Gavaskar,5,5,194,71,38.8,283,68.55,0,2,0,NA,NA
1982,AO Malhotra,5,5,143,44*,71.5,198,72.22,0,0,0,NA,NA
1982,M Amarnath,6,4,71,51,23.66,101,70.29,0,1,0,NA,NA
1982,SMH Kirmani,9,4,62,27*,31,120,51.66,0,0,0,NA,NA
1982,S Madan Lal,8,2,54,53*,-,76,71.05,0,1,0,NA,NA
1982,RMH Binny,3,3,41,16,13.66,59,69.49,0,0,0,NA,NA
1982,RJ Shastri,6,3,30,18,30,102,29.41,0,0,0,NA,NA
1982,J Arun Lal,2,2,15,9,7.5,22,68.18,0,0,0,NA,NA
1982,GAHM Parkar,2,2,12,10,6,47,25.53,0,0,0,NA,NA
1982,GR Viswanath,1,1,9,9,9,14,64.28,0,0,0,NA,NA
1982,SV Nayak,3,1,3,3,3,19,15.78,0,0,0,NA,NA
1983,N Kapil Dev,18,18,527,175*,37.64,494,106.68,1,1,1,NA,NA
1983,M Amarnath,17,17,468,80,29.25,937,49.94,0,3,0,NA,NA
1983,SM Gavaskar,15,15,383,90,25.53,615,62.27,0,2,1,NA,NA
1983,Yashpal Sharma,15,15,349,89,26.84,573,60.9,0,2,0,NA,NA
1983,K Srikkanth,16,16,310,48,19.37,572,54.19,0,0,2,NA,NA
1983,SM Patil,12,12,299,51*,27.18,339,88.2,0,3,2,NA,NA
1983,RJ Shastri,11,10,211,65,26.37,353,59.77,0,1,0,NA,NA
1983,AO Malhotra,7,7,189,65,31.5,214,88.31,0,1,0,NA,NA
1983,DB Vengsarkar,8,8,188,54,37.6,244,77.04,0,1,0,NA,NA
1983,RMH Binny,15,13,173,33,19.22,281,61.56,0,0,1,NA,NA
1983,S Madan Lal,17,10,153,27,30.6,226,67.69,0,0,0,NA,NA
1983,SMH Kirmani,19,11,92,24*,15.33,200,46,0,0,1,NA,NA
1983,KBJ Azad,7,6,56,21,11.2,82,68.29,0,0,1,NA,NA
1983,BS Sandhu,16,6,44,16*,14.66,87,50.57,0,0,2,NA,NA
1983,GAHM Parkar,1,1,42,42,42,50,84,0,0,0,NA,NA
1983,AD Gaekwad,2,2,22,22,11,59,37.28,0,0,1,NA,NA
1983,J Arun Lal,3,3,16,16,5.33,40,40,0,0,2,NA,NA
1983,S Venkataraghavan,3,1,3,3,3,11,27.27,0,0,0,NA,NA
1983,RR Kulkarni,1,1,1,1*,-,4,25,0,0,0,NA,NA
1984,DB Vengsarkar,9,8,361,105,60.16,495,72.92,1,2,0,NA,NA
1984,RJ Shastri,11,8,279,102,39.85,433,64.43,2,0,0,NA,NA
1984,SC Khanna,7,7,159,56,31.8,220,72.27,0,2,0,NA,NA
1984,SM Patil,8,7,156,59,22.28,216,72.22,0,1,0,NA,NA
1984,SM Gavaskar,10,8,150,40,25,222,67.56,0,0,1,NA,NA
1984,K Srikkanth,2,2,149,99,74.5,183,81.42,0,2,0,NA,NA
1984,RMH Binny,9,5,115,57,28.75,181,63.53,0,1,0,NA,NA
1984,GAHM Parkar,7,7,111,32*,18.5,235,47.23,0,0,0,NA,NA
