ID,1629: Lecture Clarity,1630: Lectures: Order Sequence,1631: Lectures: Adequacy of Examples,"1632: Textbook Suitability, wherever applicable  ","1633: Audio/visual presentation quality, if any",1634: Cases: Relevance,1635: Case effectiveness,1636: Projects/Assignments: Relevance,1637: Projects/Assignments: Effectiveness,1638: Instructor: Preparation,1639: Instructor: Enthusiasm,1640: Instructor: Concern for students,1641: Instructor: Enforcing discipline,1642: Instructor: Adherence to schedule,1643: The course as a whole: Achieving objectives,1644: The course as a whole: Interest evoked,1645: Overall rating,1646: About the Respondent: Your Commitment Level
1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,3,5,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
6,4,5,4,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5
7,3,4,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5
8,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9,5,5,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5
10,3,3,4,2,3,4,4,3,3,3,4,4,3,4,2,3,3,3
11,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5
12,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
15,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
16,4,4,4,4,5,4,5,4,4,4,5,4,5,5,4,5,4,5
17,2,4,2,3,5,3,3,3,3,5,5,5,5,5,4,4,3,4
18,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
19,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
20,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
21,4,5,4,4,5,4,4,5,5,5,5,5,3,5,4,4,4,5
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
23,4,5,4,3,4,3,3,4,4,5,5,5,5,5,4,4,4,4
24,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
25,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
26,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
27,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
28,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
29,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
30,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
31,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
32,4,3,3,4,5,4,5,4,5,5,4,5,4,3,4,5,4,4
33,4,4,4,4,5,5,5,4,4,5,5,5,4,5,4,4,4,4
34,5,5,4,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5
35,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
36,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
37,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
38,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
39,3,4,4,4,4,4,4,4,4,4,4,5,4,3,4,3,4,4
40,5,5,5,NA,5,4,4,4,4,5,5,5,5,5,5,5,5,5
41,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
42,3,4,4,4,5,4,4,4,4,5,5,4,5,5,3,4,4,3
43,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
44,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
45,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5
46,4,5,5,5,5,5,5,5,4,5,5,3,4,5,5,5,4,4
47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,4,4,4,3,5,4,4,4,4,5,5,4,5,5,5,4,5,5
49,5,5,5,4,4,4,4,3,NA,3,5,4,4,4,4,4,4,3
50,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
51,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
52,4,4,3,4,5,3,4,3,4,5,5,4,4,4,4,4,4,4
53,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5
54,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
55,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
56,4,4,3,3,4,2,4,2,4,4,4,4,4,3,4,2,3,3
57,4,4,3,4,5,3,3,5,5,5,5,5,4,5,4,4,4,4
58,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,4
59,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
60,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
61,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
62,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,4,3
63,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
64,5,5,5,5,4,4,4,4,4,5,5,5,4,5,4,4,5,4
65,5,5,4,4,5,4,4,5,5,5,5,4,4,5,5,4,5,4
66,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4
67,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
68,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
70,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
71,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
72,5,4,5,4,4,4,4,4,5,4,5,3,4,5,4,4,4,5
73,5,4,5,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5
74,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
75,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
76,5,4,4,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4
77,5,4,5,4,5,5,4,3,4,5,5,5,5,5,5,4,4,3
78,3,3,3,3,5,3,3,3,3,4,5,5,4,4,3,3,4,3
79,4,4,4,4,5,4,4,4,4,4,5,5,5,5,4,5,5,5
80,4,4,3,3,5,4,4,5,4,5,5,5,5,5,5,5,5,5
81,5,5,5,4,4,5,5,5,4,5,5,5,4,5,5,5,5,5
82,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
83,3,4,4,5,4,3,3,3,3,5,5,5,3,5,3,3,4,3
84,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
