City,TOT_P
Agartala,401807
Agra,1586750
Ahmadabad,5634405
Ahmadnagar,352700
Ajmer,542672
Akola,426444
Aligarh,874408
Allahabad,1168385
Alwar,323029
Ambattur,466205
Amravati,647057
Amritsar,1159227
Asansol,563917
Aurangabad,1175116
Avadi,345996
Barddhaman,314550
Bareilly,905027
Belgaum,490045
Bellary,410445
Bangaluru Municipal Corporation,8496157
Bhagalpur,400146
Bhatpara,386585
Bhavnagar,606546
Bhilainagar,627734
Bhilwara,359483
Bhiwandi,709665
Bhopal,1798218
Bhubaneswar,886507
Bijapur,327427
Bikaner,645049
Bilaspur,367029
Bokaro Steel City,416530
Brahmapur,356598
Chandigarh,971578
Chandrapur,320379
Chennai,4648065
Coimbatore(Part),1052387
Cuttack,610499
Davanagere,435549
Dehradun,574840
Dhanbad,1162711
Dhule,375559
Delhi Municipal Corporation,11034837
Durgapur,567675
Faridabad,1415892
Firozabad,604650
Gaya,475321
Ghaziabad,1649098
Medak,6994064
Gorakhpur,674591
Greater Mumbai,12442700
Gulbarga,543147
Guntur,671613
Gurgaon,886931
Guwahati,962853
Greater Visakhapatnam Municipal Corporation,1728128
Gwalior,1054420
Haora,1077483
Hisar,307223
Hubli-Dharwad,943788
Indore,1994397
Jabalpur,1081677
Jaipur,3047354
Jalandhar,871006
Jalgaon,462442
Jammu,578094
Jamnagar,600943
Jamshedpur,677713
Jhansi,506064
Jodhpur,1057427
Junagadh,319462
Kadapa,345463
Kakinada,384734
Kalyan-Dombivali,1247327
Kamarhati,330814
Kanpur,2768694
Kochi,634377
Kolhapur,549236
Kolkata,4497171
Kollam,367736
Korba,365253
Kota,1002103
Kozhikode,551129
Kulti,314607
Kurnool,458124
Latur,383325
Loni,516685
Lucknow,2817105
Ludhiana,1618879
Madurai,1017865
Maheshtala,448317
Malegaon,481228
Mangalore,500499
Mathura,350314
Meerut,1306020
Mira-Bhayandar,809961
Moradabad,887871
Muzaffarnagar,392768
Muzaffarpur,354462
Mysore,920550
Nagpur,2406893
Nanded-Waghala,551383
Nashik,1486053
Navi Mumbai,1121305
Nellore,548073
Nizamabad,311152
Noida,637272
Panihati,377347
Parbhani,307474
Patiala,446246
Patna,1684297
Pimpri Chinchwad,1728387
Pune,3125055
Raipur,1027264
Rajahmundry,377348
Rajarhat Gopalpur,402844
Rajkot,1323363
Rajpur Sonarpur,424368
Rampur,326340
Ranchi,1073427
Raurkela,320503
Rohtak,374292
Saharanpur,705993
Salem,829267
Sangli-Miraj & Kupwad,502793
Shahjahanpur,330151
Shimoga,322650
Siliguri,513824
Solapur,952489
South Dum Dum,404040
Srinagar,1207502
Surat,4501610
Thane,1842755
Thiruvananthapuram,789479
Thrissur,316689
Tiruchirappalli,847709
Tirunelveli,474402
Tiruppur,445186
Tumkur,302143
Udaipur,451100
Ujjain,515215
Ulhasnagar,507262
Vadodara,1753712
Varanasi,1200210
Vasai-Virar,1222390
Vijayawada,1144708
Warangal,704570
