Country Name,Country Code,Series Name,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018
Afghanistan,AFG,GDP growth (annual %),,,,,8.832277804,1.41411798,11.22971484,5.357403248,13.82631954,3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058
Albania,ALB,GDP growth (annual %),12.88989673,6.950036134,8.290070027,4.53996064,5.530050778,5.509998693,5.529914809,5.900083957,5.979982036,7.49996956,3.349993901,3.706880684,2.545405394,1.417525992,1.001987926,1.770000297,2.230000179,3.349999688,3.836619656,4.004413234
Algeria,DZA,GDP growth (annual %),3.200001551,3.819678496,3.008395466,5.60932319,7.201872244,4.301624264,5.907791268,1.684488319,3.372875154,2.360134861,1.632243838,3.634145353,2.891865995,3.374768651,2.767638867,3.789121212,3.763466958,3.3,1.600000001,2.1
American Samoa,ASM,GDP growth (annual %),,,,,0.814111262,0.538358008,-0.401606426,-4.166666667,1.963534362,-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.248049922,-2.619414484,-5.379746835,
Andorra,AND,GDP growth (annual %),4.099080837,3.528361297,4.54676832,6.471014671,12.16871989,7.64786979,7.396982715,4.536353119,0.040011067,-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471
Angola,AGO,GDP growth (annual %),2.181489718,3.054624234,4.205998556,13.66568652,2.98985001,10.95286177,15.02891532,11.54768318,14.01001824,11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257
Antigua and Barbuda,ATG,GDP growth (annual %),3.707894618,6.691742382,-4.954074711,1.024100862,6.05790855,5.736460188,6.412405164,12.72850745,9.25942056,-0.030133268,-12.10753619,-7.200024461,-2.079127047,3.506609222,-0.103864693,4.658127431,4.025736808,5.589740804,3.032606112,4.930650909
Arab World,ARB,GDP growth (annual %),1.796395127,5.480192454,1.613617186,0.586325148,5.319753855,9.343619276,5.716351856,6.49629421,4.571479063,5.819174968,0.428316836,4.77207865,3.629086449,6.656678452,3.166151438,2.455200528,3.307618148,3.247325157,0.999881845,2.096746772
Argentina,ARG,GDP growth (annual %),-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.514589602
Armenia,ARM,GDP growth (annual %),3.300000002,5.900000001,9.5566415,13.18630053,14.04079506,10.46784186,13.86571125,13.19800352,13.74920196,6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000001,5.2
